"" ,"max_rotation" ,"max_translation"
"sp0454" ,5.090872906386222 ,4.856890201568610
"sp0456" ,0.265474563685857 ,0.299023866653443
"sp0464" ,8.180639285965892 ,8.300839424133301
"sp0466" ,0.240189658644100 ,0.177299499511719
"sp0470" ,0.762306888231415 ,0.392803668975830
"sp0473" ,8.073199674833331 ,13.526097297668461
"sp0474" ,1.947867094826583 ,1.677272796630859
"sp0479" ,34.591657418814549 ,26.494165420532198
"sp0481" ,0.111943484196908 ,0.109281539916992
"sp0482" ,0.097635150214730 ,0.089957714080811
"sp0485" ,11.266743458620777 ,13.786499023437500
"sp0486" ,0.202918019721509 ,0.153907775878906
"sp0504" ,2.353850388049955 ,1.528092861175541
"sp0511" ,22.049942626636209 ,46.284393310546903
"sp0513" ,1.245822514004553 ,0.741912066936493
"sp0514" ,16.237831194773975 ,24.012325286865199
"sp0519" ,3.736921664237721 ,7.707351684570311
"sp0521" ,5.672905210953000 ,5.039319038391110
"sp0526" ,0.184094610088704 ,0.464089572429657
"sp0527" ,3.765999006691914 ,10.450981140136719
"sp0530" ,0.994264650756019 ,0.623292446136474
"sp0531" ,1.644079166533265 ,1.346683502197269
"sp0532" ,0.470014731493200 ,0.363571166992188
"sp0533" ,0.077708911439653 ,0.115139007568359
"sp0536" ,3.744745444628532 ,0.816469192504883
"sp0539" ,0.083369114680689 ,0.166154861450195
"sp0543" ,0.172242221064210 ,0.152587890625000
"sp0548" ,0.303144801619275 ,0.192283630371093
"sp0555" ,1.302154477484734 ,3.072946548461920
"sp0556" ,0.190173471228370 ,0.269271850585937
"sp0557" ,12.078763680048491 ,4.443696975708010
"sp0560" ,0.295075850645783 ,0.254583835601807
"sp0561" ,0.193484687034210 ,0.533375740051270
"sp0562" ,19.145421635718915 ,8.175617694854740
"sp0566" ,12.693814965805769 ,5.039319038391110
"sp0572" ,4.091140970138754 ,7.022857666015630
"sp0573" ,3.431041970600915 ,8.137149810791010
"sp0574" ,6.576847508188416 ,14.745798110961911
"sp0576" ,0.889016210844103 ,0.557597637176514
"sp0577" ,1.211460836836071 ,0.892024993896484
"sp0580" ,0.195900745707691 ,0.316981792449951
"sp0584" ,0.709375501784408 ,1.011058807373047
"sp0585" ,2.314223791252523 ,2.633548736572264
"sp0586" ,0.374207216200792 ,0.295569419860840
"sp0587" ,14.184969464741346 ,12.400760650634769
"sp0588" ,0.195816537002327 ,0.399141311645507
"sp0593" ,18.074480142402432 ,21.879568099975550
"sp0597" ,0.086906418661681 ,0.094630479812622
"sp0598" ,0.376549057792660 ,0.725014209747314
"sp0599" ,1.025381951665883 ,0.671565890312195
"sp0600" ,0.137607539066011 ,0.503134250640870
"sp0601" ,0.563846134866628 ,6.082885503768924
"sp0604" ,3.907942102724185 ,2.010901927947999
"sp0607" ,0.966693053163275 ,0.716647148132330
"sp0619" ,0.502288511167908 ,0.375286102294922
"sp0620" ,0.238552550493366 ,0.235504150390625
"sp0625" ,7.647739862623144 ,5.907542228698730
"sp0629" ,12.748258165346293 ,3.032345771789550
"sp0630" ,0.293874914994275 ,0.328985214233399
"sp0631" ,0.333743218307597 ,0.244255065917969
"sp0632" ,0.198815534698097 ,0.414792180061340
"sp0640" ,0.907725411590640 ,1.072038650512696
"sp0644" ,2.940048630021150 ,1.391924381256099
"sp0645" ,0.260140449079523 ,0.192333221435546
"sp0650" ,0.364862410180137 ,0.396589279174804
"sp0657" ,113.133449846674637 ,130.905776977539119
"sp0658" ,0.498620521903195 ,0.233974456787109
"sp0662" ,0.740617517663749 ,0.426158905029297
"sp0664" ,0.176348048493984 ,0.093658447265625
"sp0675" ,8.484016472510108 ,8.676038742065430
"sp0676" ,2.409571919378215 ,1.634181976318357
"sp0678" ,0.641333975255815 ,0.300662994384766
"sp0679" ,0.492316644118819 ,0.300727367401123
"sp0681" ,0.868411124355057 ,1.233333587646483
"sp0682" ,0.098219777181725 ,0.229944229125976
"sp0692" ,0.391777860336567 ,0.447647094726562
"sp0696" ,0.200721782909325 ,0.130964279174805
"sp0697" ,0.156441842348960 ,0.435808181762695
"sp0699" ,0.269145505650345 ,0.246395111083984
"sp0701" ,0.376549057792660 ,0.725014209747314
"sp0709" ,5.021639453718008 ,3.861268997192380
"sp0713" ,0.812637037092729 ,0.438923358917237
"sp0714" ,0.252707271511600 ,0.229026794433594
"sp0715" ,0.166985150547308 ,0.071026802062988
"sp0735" ,0.503579041995687 ,1.222669601440426
"sp0747" ,1.216513343683278 ,1.908332824707035
"sp0748" ,1.269842846660882 ,1.453382492065433
"sp0758" ,0.200713763192969 ,0.279749393463135
"sp0761" ,3.642339369807196 ,2.670299530029300
"sp0762" ,0.787690090710495 ,0.379663452506066
"sp0767" ,0.782124353595378 ,0.713335037231445
"sp0768" ,0.862419313284781 ,0.473537445068359
"sp0772" ,0.295705613435386 ,0.190574645996094
"sp0778" ,0.126272202758381 ,0.170422554016113
"sp0782" ,0.081291661062304 ,0.259222030639648
"sp0789" ,10.222068725425148 ,15.343181610107420
"sp0790" ,0.189240106671962 ,0.380923748016358
"sp0792" ,0.787690090710495 ,0.379663452506066
"sp0801" ,0.101592121289105 ,0.192378044128418
"sp0804" ,0.852379816951954 ,0.738586515188217
"sp0805" ,3.398120979279935 ,5.732797622680661
"sp0806" ,0.166194286201620 ,0.143846511840821
"sp0812" ,34.468353746905649 ,55.401573657989488
"sp0814" ,0.145980327457876 ,0.124389648437500
"sp0819" ,0.129716827672840 ,0.145535469055176
"sp0833" ,0.443556668259449 ,0.828100204467774
"sp0834" ,0.243243160477518 ,0.143935799598694
"sp0835" ,0.240219834977931 ,0.202887058258057
"sp0836" ,5.297717292782893 ,1.450855255126953
"sp0837" ,1.014868720157657 ,0.599506378173828
"sp0862" ,0.140304306456238 ,0.109580993652344
"sp0869" ,0.140209714641817 ,0.189628601074218
"sp0871" ,5.061522019043687 ,3.290567398071293
"sp0875" ,0.304112020777019 ,0.477529525756835
"sp0878" ,4.950028080756007 ,2.184475421905519
"sp0879" ,0.415025159414745 ,0.756357192993164
"sp0886" ,7.593717720627287 ,3.250434398651120
"sp0887" ,21.667266864363015 ,47.313798904419002
"sp0901" ,0.436705062637836 ,0.945549011230469
"sp0906" ,0.443865641459456 ,0.630923926830292
"sp0913" ,3.793068634052013 ,2.576660156250000
"sp0923" ,0.214490658410457 ,0.123786926269531
"sp0924" ,0.150855409007934 ,0.185434341430664
"sp0926" ,0.536109560505360 ,0.446147918701172
"sp0927" ,0.338921380243726 ,0.967658519744873
"sp0928" ,0.774679551851960 ,1.114592552185058
"sp0929" ,0.189089881014714 ,0.173119544982910
"sp0930" ,0.586310113640357 ,0.375852584838867
"sp0933" ,2.540689477389988 ,1.939859390258794
"sp0939" ,1.689766471200395 ,0.709290027618411
"sp0942" ,0.367719099184399 ,0.275456428527832
"sp0952" ,2.592564254389689 ,2.704119205474857
"sp0959" ,26.826076104001913 ,20.440793991088903
"sp0963" ,14.428471973196626 ,13.386717796325680
"sp0973" ,5.244451540708962 ,15.464317321777349
"sp0979" ,15.431310624301410 ,36.819765090942397
"sp0980" ,6.219327680477406 ,1.776885032653808
"sp0984" ,0.133331032693265 ,0.163661956787110
"sp0989" ,0.132501989023951 ,0.251216411590576
"sp0991" ,0.221209550316291 ,0.142814636230469
"sp0992" ,1.301808485403926 ,2.379451751708986
"sp0993" ,4.995502294087393 ,1.589418888092040
"sp0994" ,4.185144154267187 ,2.124371528625490
"sp0995" ,2.757839542019906 ,1.143188476562499
"sp0997" ,3.709507086362923 ,6.902397155761720
"sp1005" ,6.815757001094199 ,3.061192512512210
"sp1011" ,0.572148955784851 ,0.478725433349609
"sp1013" ,4.394979361949707 ,9.390790939331060
"sp1015" ,0.558066274563286 ,0.734664916992187
"sp1016" ,1.188319559530627 ,0.790603637695312
"sp1017" ,7.966589796638653 ,7.311963081359870
"sp1019" ,0.308657301175302 ,0.389770507812500
"sp1023" ,11.118580381318209 ,15.728967666625980
"sp1028" ,0.644902013403773 ,0.213751196861267
"sp1030" ,4.028054196410998 ,1.172598361968996
"sp1045" ,1.703740095315209 ,2.792753219604490
"sp1046" ,0.811564003705019 ,0.803362846374512
"sp1048" ,20.623813584268788 ,27.276865959167502
"sp1049" ,12.515081948651051 ,24.891337394714320
"sp1056" ,3.693386988438517 ,2.079341888427738
"sp1058" ,3.723445054005865 ,8.266527175903320
"sp1069" ,42.597603183482178 ,50.052856445312486
"sp1071" ,10.922538202803892 ,5.448657989501950
"sp1076" ,1.462543100189501 ,3.354038238525386
"sp1077" ,0.748218064330639 ,0.681978225708008
"sp1078" ,0.101036647177936 ,0.099439620971680
"sp1082" ,0.096410580273306 ,0.109492063522339
"sp1083" ,12.185744505861777 ,17.220533370971669
"sp1085" ,3.743278122364594 ,1.782022476196285
"sp1086" ,0.213538959144190 ,0.185930371284485
"sp1091" ,0.098778786830569 ,0.252376556396484
"sp1092" ,8.711127683470581 ,3.879117727279660
"sp1094" ,0.270749227412498 ,0.257694244384766
"sp1101" ,0.099163983428189 ,0.141525268554688
"sp1102" ,0.331275271507224 ,0.560495376586914
"sp1104" ,1.555942668186735 ,4.620901107788080
"sp1106" ,1.629115577778959 ,1.852483749389646
